white_elo,black_elo,result,time_control,opening_moves,eco_code,opening_name,avg_elo,rating_group
1421,1235,white,600+8,d4 f5 Nc3 Nf6 e4 e6 e5 Nd5 Nxd5,A80,Dutch Defense: Raphael Variation,1328,intermediate
1678,1883,draw,60+0,e4 d5 exd5 Qxd5 Nc3 Qd6 d4 Nf6 Nf3 c6,B01,Scandinavian Defense: Gubinsky-Melts Defense,1780,advanced
1684,1829,black,60+0,e4 e5 Nf3 Nc6 Bb5 Bc5 O-O d6 c3 Bg4,C64,Ruy Lopez: Classical Variation,1756,advanced
1709,1865,black,180+0,d4 c5 e3 cxd4 Qxd4 Nc6 Qd1 g6 a3 Bg7,A43,Benoni Defense: Old Benoni,1787,advanced
1650,1700,white,0+1,e4 d5 exd5 Qxd5 c4 Qd8 b3 e6 Bb2 Nf6,B01,Scandinavian Defense: Mieses-Kotroc Variation,1675,advanced
1375,1259,black,300+0,e4 e5 Nf3 Nf6 Bc4 c5 d3 d6 Bg5 Bd7,C42,Petrov's Defense: Italian Variation,1317,intermediate
1646,1553,white,120+0,d4 d5 g3 c5 Bg2 Nc6 Nf3 e6 dxc5 Bxc5,D00,Queen's Pawn Game,1599,intermediate
1554,1630,black,300+0,e4 c5 Nf3 Nc6 Bc4 e6 O-O d5 exd5 exd5,B30,Sicilian Defense: Old Sicilian,1592,intermediate
1526,1566,black,60+4,e4 c5 Bc4 Nc6 c3 e6 Nf3 Nf6 d3 d5,B20,Sicilian Defense: Bowdler Attack,1546,intermediate
1523,1500,black,360+5,e4 e5 Qh5 Nc6 Bc4 g6 Qf3 Nf6 c3 Bg7,C20,King's Pawn Game: Wayward Queen Attack,1511,intermediate
1876,1684,black,60+0,f4 Nf6 Nf3 e6 Nc3 g6 e4 Bg7 Bc4 d5,A02,Bird Opening,1780,advanced
1662,1687,white,0+1,b3 d5 Bb2 e6 f3 Nf6 e3 Be7 g4 O-O,A01,Nimzo-Larsen Attack: Classical Variation,1674,advanced
1208,1433,black,300+0,e4 c5 e5 d6 Qe2 Nc6 f4 e6 g3 f6,B20,Sicilian Defense,1320,intermediate
1746,1732,white,120+2,e4 e5 Bc4 Bc5 Nf3 Nf6 Nxe5 O-O d4 Bb6,C23,Bishop's Opening: Boi Variation,1739,advanced
1665,2049,black,120+0,g3 e5 Bg2 d5 e3 f5 Ne2 Bd6 d3 Qf6,A00,Hungarian Opening,1857,advanced
1836,1678,white,60+0,d4 e6 c4 d5 Nc3 Nf6 Nf3 Be7 Bg5 O-O,A40,Horwitz Defense,1757,advanced
1504,1428,white,360+0,e4 e5 Nf3 d6 h3 Be6 Nc3 c6 d4 d5,C41,Philidor Defense,1466,intermediate
1636,1619,black,180+0,e4 d6 d4 g6 c4 Bg7 Nc3 Nc6 Be3 e5,B00,Pirc Defense,1627,advanced
1651,1588,white,180+0,e4 e5 Bc4 Nf6 Bxf7+ Kxf7 f4 exf4 Nf3 Bc5,C24,Bishop's Opening: Berlin Defense,1619,advanced
1630,1619,black,420+1,d4 d6 c4 Nf6 Nc3 Nbd7 Nf3 e5 Bg5 Be7,A41,Old Indian Defense,1624,advanced
1633,1706,black,1020+0,e4 e6 d4 d5 exd5 exd5 Nf3 Nf6 Bd3 Nc6,C01,French Defense: Exchange Variation,1669,advanced
1381,1361,white,300+5,e4 e5 d3 h6 f4 d5 f5 dxe4 dxe4 Qxd1+,C20,King's Pawn Game: Leonardis Variation,1371,intermediate
1491,1476,black,0+1,e3 g6 d3 Bg7 Bd2 f6 Be2 g5 Nf3 h6,A00,Van't Kruijs Opening,1483,intermediate
1470,1542,black,180+0,e4 e5 Nf3 Nc6 Nc3 Nf6 Nxe5 Nxe5 d4 Ng6,C47,Four Knights Game: Halloween Gambit,1506,intermediate
1757,1871,black,180+0,e4 c5 Bc4 Nc6 a4 g6 Nc3 Bg7 f4 d6,B20,Sicilian Defense: Bowdler Attack,1814,advanced
1479,1490,white,0+1,e3 g6 Qf3 Bg7 Bc4 e6 Nh3 c6 d3 b5,A00,Van't Kruijs Opening,1484,intermediate
1639,1559,white,120+0,d4 d5 g3 c5 Bg2 Nc6 dxc5 e5 Nc3 d4,D00,Queen's Pawn Game,1599,intermediate
1564,1625,white,600+10,e4 e5 Nf3 f6 Nc3 Nc6 Bc4 b5 Bd5 b4,C40,King's Pawn Game: Damiano Defense,1594,intermediate
1548,1279,white,480+0,d4 d5 e4 e5 dxe5 d4 Nf3 Bc5 Bc4 Nc6,D00,Blackmar-Diemer Gambit,1413,intermediate
1407,998,white,180+6,e3 e5 d4 d6 dxe5 dxe5 Qxd8+ Kxd8 Nf3 Bb4+,A00,Van't Kruijs Opening,1202,novice
1700,1778,white,60+0,e4 e5 Nf3 d6 d4 f5 dxe5 fxe4 Nfd2 d5,C41,Philidor Defense: Philidor Countergambit,1739,advanced
1542,1413,white,300+8,e4 d5 exd5 Qxd5 Nc3 Qe5+ Nge2 Bg4 h3 Bxe2,B01,Scandinavian Defense: Mieses-Kotroc Variation,1477,intermediate
1576,1517,white,60+4,d4 d5 Nf3 Nc6 e3 e6 c4 dxc4 Bxc4 Bb4+,D02,Queen's Pawn Game: Chigorin Variation,1546,intermediate
1673,1843,black,0+1,g3 c5 Bg2 d5 b3 e5 Bb2 d4 d3 Nf6,A00,Hungarian Opening: Sicilian Invitation,1758,advanced
1631,1620,white,180+0,a3 Nf6 d3 Nc6 g3 e5 Bg2 d6 Nf3 Bg4,A00,Anderssen's Opening,1625,advanced
1438,1553,black,600+8,d4 d5 e4 dxe4 Nc3 e5 dxe5 Qxd1+ Nxd1 Bc5,D00,"Blackmar-Diemer Gambit: Lemberger Countergambit, Endgame Variation",1495,intermediate
1234,1394,white,300+5,d4 d5 Nf3 Nc6 Nc3 Nf6 Bf4 Bf5 e3 e6,D02,Queen's Pawn Game: Chigorin Variation,1314,intermediate
1630,1612,white,420+1,e4 c5 Nf3 Nc6 Bc4 d6 O-O Nf6 Nc3 Bg4,B30,Sicilian Defense: Old Sicilian,1621,advanced
1544,1654,white,120+0,d4 d5 c4 dxc4 Nc3 a6 e4 b5 a4 Bb7,D20,Queen's Gambit Accepted,1599,intermediate
1236,1835,black,300+15,d4 d5 Nc3 e6 Nf3 c5 Ne5 cxd4 Qxd4 Nc6,D00,Queen's Pawn Game: Chigorin Variation,1535,intermediate
2052,1457,white,120+0,d4 Nf6 c4 d5 Nc3 g6 Nf3 Bg7 Qb3 O-O,A50,Indian Defense: Normal Variation,1754,advanced
1661,1141,white,180+0,e4 e6 f4 d6 Nf3 Ne7 Bc4 d5 exd5 exd5,C00,French Defense: La Bourdonnais Variation,1401,intermediate
1459,1551,black,180+0,e4 e5 Nf3 Nf6 Nc3 Nc6 Nxe5 Nxe5 d4 Neg4,C42,Petrov's Defense: Three Knights Game,1505,intermediate
1457,1179,white,300+10,e4 e6 d4 d5 e5 c5 Nf3 c4 Nc3 b5,C02,"French Defense: Advance Variation, Nimzowitsch System",1318,intermediate
1764,1714,black,60+0,e4 e5 Nf3 Nc6 Bc4 Nf6 O-O Be7 Re1 O-O,C55,Italian Game: Two Knights Defense,1739,advanced
1747,1315,white,300+6,e4 e5 f4 exf4 Nf3 Bc5 d4 Bb6 Bc4 Ne7,C34,King's Gambit Accepted: King's Knight's Gambit,1531,intermediate
1630,1590,black,300+5,e4 e6 d4 c5 c3 cxd4 cxd4 Nc6 Nf3 b6,C00,French Defense: Franco-Sicilian Defense,1610,advanced
1477,1491,white,0+1,b3 e6 Bb2 f6 Bc3 Qe7 Bb2 Qf7 Ba3 g6,A01,Nimzo-Larsen Attack,1484,intermediate
1070,1052,black,360+9,e4 e5 Nc3 c6 Bc4 Bb4 Qf3 Nf6 a3 Bxc3,C25,Vienna Game,1061,novice
1369,1645,black,180+0,e4 c5 Nf3 Nc6 Bc4 e6 d4 d5 exd5 exd5,B30,Sicilian Defense: Old Sicilian,1507,intermediate
1409,1213,black,180+6,e3 e5 d4 exd4 Qxd4 Nc6 Qd1 Nf6 Bb5 Bc5,A00,Van't Kruijs Opening,1311,intermediate
1667,1676,white,0+1,g3 d5 Bg2 e6 c3 Nf6 b4 Be7 a4 O-O,A00,Hungarian Opening: Catalan Formation,1671,advanced
1343,1490,black,360+5,e4 e5 Nf3 Nc6 Bc4 Be7 c3 Nf6 Ng5 O-O,C50,Italian Game: Hungarian Defense,1416,intermediate
1665,1849,black,60+0,d4 d5 e3 Nf6 Nf3 Bg4 g3 e6 Be2 c5,D00,Queen's Pawn Game,1757,advanced
1678,1569,white,0+1,b3 d6 Bb2 Nf6 e3 g6 g4 Bg7 g5 O-O,A01,Nimzo-Larsen Attack,1623,advanced
1727,1751,white,60+0,e4 e5 Nf3 d6 d4 f5 exf5 e4 Nfd2 Bxf5,C41,Philidor Defense: Philidor Countergambit,1739,advanced
1254,1491,black,180+9,e4 e5 Nf3 Nc6 d4 Bd6 dxe5 Nxe5 Nxe5 Bxe5,C44,Scotch Game,1372,intermediate
1662,1582,black,180+0,e4 c5 Bc4 Nf6 Bxf7+ Kxf7 f4 Nxe4 Nf3 d5,B20,Sicilian Defense: Bowdler Attack,1622,advanced
1550,1648,white,120+0,d4 d5 c4 dxc4 Nc3 Nf6 e4 e6 Bxc4 Bb4,D20,Queen's Gambit Accepted,1599,intermediate
1490,1413,white,0+1,b3 d6 Bb2 c6 a3 b6 b4 Nf6 Bxf6 exf6,A01,Nimzo-Larsen Attack,1451,intermediate
2054,2122,white,120+0,d4 Nf6 c4 e6 Nc3 d6 e4 Nbd7 Nf3 Be7,A50,Indian Defense: Normal Variation,2088,expert
1319,1361,black,300+0,d4 e5 c3 exd4 cxd4 Nf6 Bf4 Bb4+ Nc3 O-O,A40,Englund Gambit,1340,intermediate
1533,1210,white,420+0,e4 Nc6 Nf3 e5 Bc4 Nf6 d3 d6 Ng5 Be6,B00,Nimzowitsch Defense: Declined Variation,1371,intermediate
1474,1479,white,420+9,e4 e6 d3 f5 f3 f4 Bxf4,C00,"French Defense: King's Indian Attack, Franco-Hiva Gambit",1476,intermediate
1855,1659,black,60+0,d4 d5 c4 b6 Nc3 Bb7 Nf3 dxc4 e4 e6,D06,Queen's Gambit,1757,advanced
1507,1585,white,60+4,e4 c5 Bc4 Nc6 c3 e6 Nf3 Nf6 d3 d5,B20,Sicilian Defense: Bowdler Attack,1546,intermediate
1422,1528,black,600+10,d4 Nf6 c4 d5 Nc3 Bf5 Nf3 Ne4 Bd2 Nxc3,A50,Indian Defense: Normal Variation,1475,intermediate
1616,1724,black,360+8,g3 e6 Bg2 d5 e3 Nc6 a3 Nf6 Ne2 Bd6,A00,Hungarian Opening,1670,advanced
1797,1646,black,480+1,d4 e6 c4 d5 Nc3 dxc4 Nf3 Bb4 Bg5 Bxc3+,A40,Horwitz Defense,1721,advanced
1686,1479,white,0+1,g3 d6 Bg2 e6 b3 c6 Bb2 d5 Bc3 Be7,A00,Hungarian Opening,1582,intermediate
1439,1185,white,300+0,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qe2 f5 d3 Bd6,C42,Petrov's Defense: Damiano Variation,1312,intermediate
1594,1593,white,240+0,e4 e6 Nf3 c6 Bc4 d5 exd5 cxd5 Bb3 Nf6,C00,French Defense: Knight Variation,1593,intermediate
1549,1511,black,900+0,e4 c5 c3 Nf6 Bc4 Nxe4 d4 Nd6 Bb3 c4,B22,Sicilian Defense: Alapin Variation,1530,intermediate
1500,1403,black,0+1,e3 d6 Qf3 c6 Bc4 b6 Qxf7+ Kd7 Qf5+ e6,A00,Van't Kruijs Opening,1451,intermediate
1204,1271,white,420+0,Nf3 d5 d4 h6 a3 Bf5 e3 e6 Bd3 Bg4,A06,Zukertort Opening,1237,novice
1536,1749,black,120+2,e4 e5 Nf3 Nc6 Nc3 Bc5 Bc4 Nf6 d3 h6,C46,Three Knights Opening,1642,advanced
1531,1347,white,420+0,e4 e5 Qh5 Nf6 Qxe5+ Qe7 Qxc7 Qxe4+ Ne2 Qc6,C20,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",1439,intermediate
2107,2068,black,120+0,e4 e5 Nc3 Nc6 f4 Bc5 Nf3 d6 d3 Nf6,C25,"Vienna Gambit, with Max Lange Defense",2087,expert
1868,1241,white,300+13,e4 e5 Nf3 Nc6 Nc3 Bc5 Bc4 h6 a3 Nf6,C46,Three Knights Opening,1554,intermediate
1485,1266,white,420+9,e4 e5 Qh5 Nc6 c3 Nf6 Qf3 d5 d3 Bg4,C20,King's Pawn Game: Wayward Queen Attack,1375,intermediate
1691,1474,black,0+1,d3 e5 e4 Qf6 b3 Bc5 Be3 Bxe3 fxe3 Nh6,A00,Mieses Opening: Reversed Rat,1582,intermediate
1879,1909,white,180+0,e4 e5 d3 d6 c4 f5 Nc3 Nf6 f4 Nc6,C20,King's Pawn Game: Leonardis Variation,1894,advanced
1595,1807,black,300+8,e4 e6 Nf3 d5 Nc3 c5 Ne5 Nf6 Bb5+ Bd7,C00,French Defense: Two Knights Variation,1701,advanced
1634,1565,white,120+0,d4 d5 Nf3 c5 a4 Nc6 dxc5 e5 h4 Bxc5,D02,Queen's Pawn Game: Krause Variation,1599,intermediate
1168,1445,black,300+0,e4 e5 c4 Nc6 Nf3 Bc5 Nc3 Nf6 Nd5 O-O,C20,English Opening: The Whale,1306,intermediate
1484,1419,white,0+1,g3 d6 f3 c6 Bg2 b6 h3 Bb7 g4 e6,A00,Hungarian Opening,1451,intermediate
1423,1532,black,480+5,c4 e5 e3 Nc6 a3 Bc5 b4 Bd6 c5 Be7,A20,English Opening: King's English Variation,1477,intermediate
1674,1491,black,0+1,g3 e6 Bg2 d5 b3 c6 Bb2 Qc7 f4 f6,A00,Hungarian Opening,1582,intermediate
1409,1494,white,0+1,e4 b6 d4 Bb7 g3 Bxe4 Nf3 Bb7 Bg2 f6,B00,Owen Defense,1451,intermediate
1475,1656,black,120+4,e4 e5 Bc4 Bc5 Nf3 Nf6 Nxe5 Nxe4 O-O d5,C23,Bishop's Opening: Boi Variation,1565,intermediate
1838,1739,white,60+0,d4 Nf6 c4 c5 Nc3 cxd4 Qxd4 Nc6 Qd1 g6,A56,Benoni Defense,1788,advanced
1540,1394,black,480+5,e4 d5 e5 c5 Nf3 Nc6 d4 c4 b3 b5,B01,Scandinavian Defense,1467,intermediate
1462,1340,black,300+10,e4 c5 d4 cxd4 c3 dxc3 Bc4 e6 Nxc3 Nc6,B21,Sicilian Defense: Smith-Morra Gambit Accepted,1401,intermediate
2082,2093,white,120+0,d4 Nf6 c4 c5 d5 e6 Nc3 b5 cxb5 Bb7,A60,Benoni Defense: Modern Variation,2087,expert
1351,1419,black,360+0,d4 d5 c4 dxc4 e4 e5 Bxc4 exd4 Nf3 Be6,D20,"Queen's Gambit Accepted: Central Variation, McDonnell Defense, Somov Gambit",1385,intermediate
1653,1781,white,300+8,e4 d6 d3 Nf6 Nc3 c5 Bg5 g6 Nf3 Bg7,B00,Pirc Defense,1717,advanced
1460,1582,white,240+0,Nf3 Nc6 e3 e6 Bb5 a6 Bxc6 dxc6 Nc3 Nf6,A04,Zukertort Opening: Black Mustang Defense,1521,intermediate
1704,1636,draw,1200+5,g3 Nf6 Bg2 e6 Nf3 d5 a4 Nc6 c3 Bd6,A00,Hungarian Opening: Indian Defense,1670,advanced
1836,1234,white,300+15,e4 e5 Nf3 Bc5 Bc4 Nf6 Nxe5 O-O d4 Bb4+,C40,King's Pawn Game: Busch-Gass Gambit,1535,intermediate
1424,1419,white,0+1,e4 d6 d4 Bd7 g3 Qc8 Bg2 h6 Nf3 h5,B00,Pirc Defense,1421,intermediate
1450,1152,white,300+0,e4 c5 Nf3 d6 Bc4 Be6 Bxe6 fxe6 O-O e5,B50,Sicilian Defense: Modern Variations,1301,intermediate
1754,1521,white,120+2,e4 e6 e5 Nc6 d4 Nge7 Bg5 h6 Bh4 g5,C00,French Defense: Steinitz Attack,1637,advanced
1447,1394,white,0+1,e4 d6 g3 Bd7 Bg2 Qc8 Nf3 Kd8 O-O Be8,B00,Pirc Defense,1420,intermediate
1731,1846,black,60+0,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 d6 d4 exd4,C53,Italian Game: Classical Variation,1788,advanced
1556,1643,white,120+0,d4 d6 c4 e6 Nc3 Nf6 e4 Be7 Bg5 O-O,A41,Old Indian Defense,1599,intermediate
1370,1283,white,300+0,e4 e5 Nf3 c5 Bc4 d6 O-O Bg4 Nc3 Qf6,C40,King's Knight Opening,1326,intermediate
1531,1584,black,300+1,e4 e6 d4 d5 Nc3 Bb4 Bd3 Nf6 e5 Nfd7,C15,French Defense: Winawer Variation,1557,intermediate
1446,1524,white,480+5,c4 e5 e3 d5 cxd5 Qxd5 Nc3 Qd8 Nf3 Nc6,A20,English Opening: King's English Variation,1485,intermediate
1381,1361,white,300+5,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6,C45,Scotch Game: Schmidt Variation,1371,intermediate
1174,1414,black,120+0,d4 d5 Qd3 c6 e4 Nf6 e5 Nfd7 Be2 e6,D00,Amazon Attack,1294,novice
1602,1618,black,300+5,d4 d5 c4 Bf5 Nc3 e6 e3 c6 Nf3 h6,D06,Queen's Gambit Declined: Baltic Defense,1610,advanced
1595,1534,black,300+1,d4 d5 c4 c6 Nc3 e6 e3 a6 Nf3 Bd6,D10,Slav Defense,1564,intermediate
1274,1479,black,0+1,e4 g6 Nf3 Bg7 Bc4 b6 c3 e6 d4 Ba6,B06,Modern Defense,1376,intermediate
1268,1485,black,0+1,e4 e6 Nf3 Qf6 d3 Qd8 Be2 d6 O-O e5,C00,French Defense: Knight Variation,1376,intermediate
1484,1501,black,600+0,e4 e5 Nf3 Qf6 Be2 g5 c3 Bc5 d4 exd4,C40,King's Pawn Game: McConnell Defense,1492,intermediate
1392,1290,black,180+6,e3 d5 d4 Nf6 c4 e6 cxd5 Nxd5 Bc4 Bb4+,A00,Van't Kruijs Opening,1341,intermediate
1854,1723,white,60+0,d4 Nf6 c4 c5 d5 b5 Nc3 b4 Nb1 d6,A57,Benko Gambit,1788,advanced
2095,1491,white,120+0,d4 g6 e4 Bg7 f4 b6 Nf3 Bb7 Nc3 a6,A40,Queen's Pawn Game: Modern Defense,1793,advanced
1776,1559,white,180+2,d4 e6 c4 d5 Nc3 dxc4 e4 c6 Bxc4 b5,A40,Horwitz Defense,1667,advanced
1274,1240,black,360+0,e4 e5 b3 g6 Bb2 Bg7 f4 d6 fxe5 dxe5,C20,King's Pawn Opening,1257,novice
1808,1901,black,120+12,b3 c6 Bb2 Nf6 e3 d5 f4 Bf5 Nf3 Nbd7,A01,Nimzo-Larsen Attack,1854,advanced
1416,1235,white,600+8,d4 g6 d5 e6 e4 exd5 exd5 Qe7+ Be2 Bg7,A40,Queen's Pawn Game: Modern Defense,1325,intermediate
1457,1383,white,0+1,e4 d6 g3 Nd7 Bg2 Ne5 Nf3 g6 Nxe5 g5,B00,Pirc Defense,1420,intermediate
1519,1379,black,300+3,e4 e5 Bc4 Nc6 Nc3 Nd4 Nge2 Bc5 Nxd4 Bxd4,C23,Bishop's Opening,1449,intermediate
1408,1548,white,300+5,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d4 exd4,C54,"Italian Game: Classical Variation, Center Attack",1478,intermediate
1521,1255,black,60+5,e4 e5 Nf3 Nf6 d3 Nc6 Bg5 Be7 c3 h6,C42,Petrov's Defense,1388,intermediate
1629,1570,white,120+0,d4 d5 Nf3 c5 h3 Nc6 dxc5 e5 Nc3 d4,D02,Queen's Pawn Game: Krause Variation,1599,intermediate
1781,1759,draw,120+2,d4 d5 c4 c5 cxd5 Qxd5 e3 cxd4 Qxd4 Qxd4,D06,Queen's Gambit Declined: Austrian Defense,1770,advanced
1716,1862,black,60+0,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 h6 O-O d6,C53,Italian Game: Classical Variation,1789,advanced
1372,1466,black,0+1,Nf3 d6 e3 b6 Be2 Bb7 O-O Nc6 d3 Qd7,A04,Zukertort Opening: Pirc Invitation,1419,intermediate
1228,1365,black,420+0,Nf3 Nc6 d4 d5 Nc3 f6 a3 e5 dxe5 fxe5,A04,Zukertort Opening: Black Mustang Defense,1296,novice
1658,2096,black,120+0,e4 e5 c3 Nc6 f3 d5 d3 f5 exf5 Bxf5,C20,King's Pawn Game: MacLeod Attack,1877,advanced
1590,1448,black,240+0,Nf3 d5 e3 Bf5 c4 e6 cxd5 exd5 Nc3 Nf6,A06,Zukertort Opening,1519,intermediate
1475,1363,black,0+1,e4 c6 g3 e6 Bg2 d6 Nf3 g6 O-O Nd7,B10,Caro-Kann Defense,1419,intermediate
1379,1460,white,0+1,Nf3 d6 Nd4 b6 Nb5 Bb7 c3 Nc6 Qa4 Qd7,A04,Zukertort Opening: Pirc Invitation,1419,intermediate
