white_elo,black_elo,result,time_control,opening_moves,num_opening_moves,post_opening_acpl,eco_code,opening_name,eco_line_length,avg_elo,rating_group
1831,1868,black,30+0,e4 g6 d4 Bg7 e5 f5 f4 d6 g4 dxe5,10,,B06,Modern Defense,4,1849,advanced
1803,1997,black,60+0,e3 Nf6 b3 g6 Bb2 Bg7 Nc3 O-O Be2 c5,10,,A00,Van't Kruijs Opening,1,1900,expert
1782,1875,white,60+0,d4 e6 c4 d5 Nc3 Nf6 cxd5 exd5 Bg5 Be7,10,,A40,Horwitz Defense,2,1828,advanced
1951,2099,black,30+0,b3 d5 Bb2 c6 g3 Nf6 Bg2 e6 f3 Bd6,10,,A01,Nimzo-Larsen Attack: Classical Variation,2,2025,expert
1727,1855,black,600+0,e4 c5 Bc4 Nc6 Qf3 e6 c3 Ne5 Qe2 Nxc4,10,,B20,Sicilian Defense: Bowdler Attack,3,1791,advanced
1687,1806,black,60+1,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6,10,,B33,Sicilian Defense: Open,8,1746,advanced
1716,1599,white,300+0,Nf3 d5 e3 Nc6 d4 Bg4 c4 Bxf3 Qxf3 dxc4,10,,A06,Zukertort Opening,2,1657,advanced
1714,1665,white,600+0,Nf3 Nc6 Nc3 e5 e4 Bc5 Bb5 Nd4 Nxe5 Nxb5,10,,A04,Zukertort Opening: Black Mustang Defense,2,1689,advanced
2080,2004,white,180+0,e4 c5 b4 cxb4 a3 bxa3 Nxa3 d6 Nf3 g6,10,,B20,"Sicilian Defense: Wing Gambit, Carlsbad Variation",6,2042,expert
1512,1617,black,600+0,e4 e6 d4 d5 c4 dxe4 Nc3 f5 g4 Nc6,10,,C00,French Defense: Diemer-Duhm Gambit Accepted,6,1564,intermediate
2547,2299,white,60+0,e4 e5 Nf3 Nc6 Bc4 Nd4 c3 Nxf3+ Qxf3 Qf6,10,2088.37,C50,Italian Game: Blackburne-Kostić Gambit,6,2423,master
1380,1321,white,600+0,e4 c6 d4 d5 e5 Bf5 Nf3 e6 Bd3 Bxd3,10,,B12,"Caro-Kann Defense: Advance Variation, Short Variation",7,1350,intermediate
1839,1864,white,420+0,e4 e5 Nf3 d6 Bc4 h6 d4 f6 dxe5 fxe5,10,,C41,Philidor Defense,5,1851,advanced
1527,1387,black,600+0,c3 b6 d4 Bb7 e3 g6 Bb5 Bg7 Ne2 Bxg2,10,2772.53,A00,Saragossa Opening,1,1457,intermediate
1500,1327,black,180+0,e4 Nc6 Nf3 e5 c4 Nf6 Nc3 Bd6 Bd3 O-O,10,,B00,Nimzowitsch Defense: Declined Variation,3,1413,intermediate
1719,1594,white,660+8,e4 d5 exd5 Qxd5 Nc3 Qc5 d4 Qd6 Nf3 g6,10,18931.53,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,1656,advanced
1674,1639,black,180+0,e4 e6 d4 d5 exd5 exd5 Nf3 Nf6 Nc3 Bg4,10,,C01,French Defense: Exchange Variation,7,1656,advanced
1253,1430,white,180+0,e4 e5 Nf3 d6 Qe2 Bg4 Qd3 Nd7 Ng1 a6,10,,C41,Philidor Defense,4,1341,intermediate
1137,1734,black,120+0,e4 g6 Bc4 Bg7 d3 e6 Nc3 Ne7 Bd2 b6,10,3048.24,B06,Modern Defense,2,1435,intermediate
1516,1369,white,300+0,e4 e6 d4 d5 e5 c5 c3 Qb6 Be3 Nc6,10,,C02,French Defense: Advance Variation,7,1442,intermediate
1760,1818,white,180+0,e4 d5 exd5 Nf6 d4 c6 c4 cxd5 Nc3 dxc4,10,,B01,Scandinavian Defense: Modern Variation,5,1789,advanced
2168,1623,white,180+0,d4 Nf6 c4 e6 Nc3 d5 Bg5 Be7 cxd5 exd5,10,,A50,Indian Defense: Normal Variation,3,1895,advanced
1523,1824,white,480+1,e4 e5 c3 Nf6 d3 h6 Nf3 Nc6 d4 exd4,10,,C20,King's Pawn Game: MacLeod Attack,3,1673,advanced
1459,1520,white,1500+0,b3 e5 d4 exd4 Qxd4 Nc6 Qe4+ Be7 Nc3 Nf6,10,,A01,Nimzo-Larsen Attack: Modern Variation,2,1489,intermediate
1590,1747,black,300+0,d4 d5 c4 dxc4 Nc3 Nf6 f3 e5 d5 Bb4,10,,D20,Queen's Gambit Accepted,4,1668,advanced
1572,1630,white,240+0,d4 d5 Nc3 Nf6 Bg5 e6 e4 Be7 e5 Ne4,10,,D00,Queen's Pawn Game: Chigorin Variation,3,1601,advanced
2076,1962,white,30+0,d4 d5 Nf3 e6 c3 c6 e3 Bd6 Bd3 Qc7,10,,D02,Queen's Pawn Game: Zukertort Variation,3,2019,expert
1980,2076,black,60+0,e4 e5 f4 d5 exd5 e4 d3 Qd7 Nc3 exd3,10,,C31,"King's Gambit Declined: Falkbeer Countergambit, Charousek Gambit",7,2028,expert
1409,1410,white,600+0,d4 Nh6 c4 d5 Nc3 Na6 cxd5 Nf5 Nf3 Qd6,10,13675.48,A40,Queen's Pawn Game,1,1409,intermediate
1886,1888,draw,600+0,d4 d5 Nf3 Nc6 Bf4 Nf6 e3 Nh5 Bg5 f6,10,,D02,Queen's Pawn Game: Chigorin Variation,4,1887,advanced
1401,1563,black,600+0,e4 e5 d4 exd4 Bf4 Nc6 Bc4 Nf6 f3 Bc5,10,,C21,Center Game Accepted,4,1482,intermediate
1832,1636,white,600+0,d4 d5 c4 Nf6 cxd5 Nxd5 e4 Nf6 Nc3 Nbd7,10,,D06,Queen's Gambit Declined: Marshall Defense,4,1734,advanced
1588,1503,black,300+2,e4 g6 d4 Bg7 Nf3 e6 e5 Ne7 d5 exd5,10,,B06,Modern Defense,4,1545,intermediate
1532,1403,white,180+0,d4 e6 Bf4 Be7 Nc3 b6 e3 Bb7 Nf3 d5,10,,A40,Horwitz Defense,2,1467,intermediate
1950,1822,white,300+3,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 Qc7,10,,B43,"Sicilian Defense: Kan Variation, Knight Variation",9,1886,advanced
1266,1258,black,300+3,d4 d5 Nc3 Nf6 Nf3 e6 e3 Bb4 a3 Bxc3+,10,,D00,Queen's Pawn Game: Chigorin Variation,3,1262,novice
1433,1476,white,420+0,e4 e5 Nf3 d6 d4 exd4 Nxd4 Bd7 Bc4 Nc6,10,,C41,Philidor Defense: Exchange Variation,7,1454,intermediate
1617,1678,black,300+3,e4 c5 Nf3 d6 Bc4 h6 Nc3 Nf6 d3 e5,10,,B50,Sicilian Defense: Modern Variations,4,1647,advanced
1591,1791,white,300+4,d4 d5 c4 Nc6 Nc3 Nf6 Bg5 dxc4 e3 e6,10,,D07,Queen's Gambit Declined: Chigorin Defense,5,1691,advanced
1704,1969,white,240+0,e4 e5 Bc4 Be7 Bxf7+ Kxf7 Nf3 d6 c3 Nf6,10,,C23,Bishop's Opening,3,1836,advanced
934,1186,white,300+0,d4 Nf6 Nc3 d5 Be3 Bf5 Qc1 Nc6 Nf3 Ne4,10,,A45,Queen's Pawn Game: Chigorin Variation,4,1060,novice
1730,2212,black,600+0,e3 e5 Ne2 d5 d4 Nc6 g3 Nf6 Bg2 h5,10,5262.26,A00,Van't Kruijs Opening,1,1971,expert
1456,1246,white,300+0,d4 d5 c4 dxc4 Nc3 Nc6 d5 Ne5 f4 Ng4,10,,D20,Queen's Gambit Accepted,4,1351,intermediate
1717,2011,black,300+0,d4 Nf6 c3 e6 h3 c5 Nf3 d5 Bf4 Nc6,10,,A45,Indian Defense,2,1864,advanced
1483,1508,black,300+0,e4 e5 d3 Nf6 h3 c5 c3 Nc6 a3 d6,10,,C20,King's Pawn Game: Leonardis Variation,3,1495,intermediate
1672,1646,black,300+0,e4 e5 d3 d6 c3 h6 f4 exf4 Bxf4 Nf6,10,,C20,King's Pawn Game: Leonardis Variation,3,1659,advanced
1755,1788,white,120+9,d4 d5 Bg5 Bf5 e3 h6 Bh4 a6 c3 Nc6,10,,D00,Queen's Pawn Game: Levitsky Attack,3,1771,advanced
1502,1322,white,300+5,e4 e5 Nf3 Nc6 Bc4 d5 exd5 Nb4 Nc3 Bg4,10,,C50,Italian Game,5,1412,intermediate
1778,1695,white,300+0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nb5 d6,10,,B32,Sicilian Defense: Kalashnikov Variation,10,1736,advanced
1599,1551,black,60+0,e4 e6 d4 d5 e5 c5 Nf3 c4 Be2 b5,10,,C02,"French Defense: Advance Variation, Nimzowitsch System",7,1575,intermediate
1739,1846,white,240+0,e4 Nf6 e5 Nd5 c4 Nb6 d4 d6 f4 g5,10,,B02,Alekhine Defense: Two Pawns Attack,5,1792,advanced
1422,1268,white,300+0,d4 d5 Bg5 f6 Bh4 g5 Bg3 e6 Nf3 Nc6,10,4511.78,D00,Queen's Pawn Game: Levitsky Attack,3,1345,intermediate
2169,2079,black,30+0,d4 d5 c4 c5 Nc3 cxd4 e4 dxc3 cxd5 cxb2,10,,D06,Queen's Gambit Declined: Austrian Defense,4,2124,expert
1501,1532,black,180+2,e4 e5 Nf3 f5 Nxe5 Nf6 f4 Bd6 d4 Nxe4,10,,C40,Latvian Gambit,4,1516,intermediate
2300,2574,black,180+0,Nf3 Nf6 b3 d5 Bb2 Bg4 Ne5 Bh5 h3 Nfd7,10,,A05,Zukertort Opening: Nimzo-Larsen Variation,3,2437,master
1724,1889,black,180+0,c4 e5 Nc3 Nf6 d3 Bc5 e3 d6 Bd2 Nc6,10,,A22,"English Opening: King's English Variation, Two Knights Variation",4,1806,advanced
1644,1679,white,180+0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 a6 Bc4 Nf6,10,,B32,Sicilian Defense: Open,7,1661,advanced
1614,1689,black,420+0,d4 c5 e3 cxd4 exd4 g6 Bd3 Bg7 c3 Nf6,10,,A43,Benoni Defense: Old Benoni,2,1651,advanced
2042,1997,white,600+0,e4 c5 Nf3 d6 Bc4 e6 Nc3 a6 d4 cxd4,10,,B50,Sicilian Defense: Modern Variations,4,2019,expert
1358,1472,white,45+10,e4 e5 Nf3 Nc6 Bc4 d6 Ng5 Be6 Bxe6 fxe6,10,,C50,Italian Game: Paris Defense,6,1415,intermediate
1615,1676,white,600+0,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bb4 d3 Bxc3+,10,,C47,Four Knights Game: Italian Variation,7,1645,advanced
1400,1397,white,300+0,e4 e5 Nf3 d6 Bc4 c6 Nc3 b5 Bb3 a5,10,,C41,Philidor Defense,5,1398,intermediate
1789,1887,black,30+0,e4 e6 e5 d5 f4 c5 Nf3 Nc6 Bb5 d4,10,,C00,French Defense: Steinitz Attack,3,1838,advanced
1412,1706,black,300+0,e4 e5 Nf3 d6 d4 exd4 Nxd4 Bd7 Nf5 Bxf5,10,,C41,Philidor Defense: Exchange Variation,7,1559,intermediate
1407,1406,black,300+8,e4 e6 d4 Qh4 Bd3 Nc6 c3 Qe7 e5 f6,10,,C00,French Defense: Normal Variation,3,1406,intermediate
1482,1536,black,60+0,e4 b6 Nf3 Bb7 d3 e6 Nc3 d5 Bf4 d4,10,,B00,Owen Defense,2,1509,intermediate
1570,1630,white,180+0,e4 b6 Nc3 Bb7 Nf3 e6 d4 d5 e5 Ne7,10,9621.44,B00,Owen Defense,2,1600,advanced
1554,1637,black,60+2,d4 d5 c4 c6 e3 Nf6 cxd5 cxd5 Nc3 Bf5,10,,D10,Slav Defense,4,1595,intermediate
1098,1175,black,900+15,g3 d5 e3 e5 c4 f5 Nf3 e4 Nh4 g5,10,,A00,Hungarian Opening,1,1136,novice
1710,1726,white,900+15,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 Ne4 a3 Bxc3+,10,,E32,Nimzo-Indian Defense: Classical Variation,7,1718,advanced
1513,1590,black,300+5,e4 b6 d4 Bb7 d5 h6 Nf3 d6 Bc4 Nf6,10,,B00,Owen Defense,2,1551,intermediate
1927,2003,black,120+0,d4 d5 c4 c6 Nc3 Nf6 f3 dxc4 a4 e6,10,2096.43,D10,Slav Defense,5,1965,expert
1481,1424,white,900+15,e4 d5 exd5 Qxd5 Nc3 Qa5 Bd3 e6 Nf3 Nc6,10,,B01,Scandinavian Defense: Main Line,6,1452,intermediate
1542,1954,black,600+8,e4 e5 Nf3 Nc6 Bb5 Qf6 Nc3 Nge7 O-O Nd4,10,,C60,Ruy Lopez,5,1748,advanced
1331,1211,black,600+0,e4 e5 Nf3 Nc6 Bb5 Bc5 Bxc6 bxc6 O-O Ba6,10,3743.38,C64,Ruy Lopez: Classical Variation,6,1271,novice
2191,1862,black,120+0,e4 e6 c4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Bc5,10,,C00,French Defense: Steiner Variation,3,2026,expert
1680,1886,black,60+1,d4 c5 e3 cxd4 e4 d5 Qxd4 Nc6 Qxd5 e6,10,,A43,Benoni Defense: Old Benoni,2,1783,advanced
2221,2225,white,30+0,e4 e6 Nf3 Be7 Ne5 d5 Qh5 g6 Qf3 dxe4,10,,C00,French Defense: Knight Variation,3,2223,master
2004,1977,black,300+5,d4 Nf6 Nc3 d5 Bf4 e6 e3 Bd6 Nf3 Bxf4,10,,A45,Queen's Pawn Game: Chigorin Variation,4,1990,expert
1797,1996,black,30+0,e4 d6 Nf3 c6 Bc4 e6 Bd3 f6 Be2 Be7,10,,B00,Pirc Defense,2,1896,advanced
1949,1740,white,30+0,g3 e6 Bg2 d5 Nf3 Nf6 O-O Be7 d4 O-O,10,,A00,Hungarian Opening,1,1844,advanced
1739,1650,black,60+0,g3 d5 Bg2 Nf6 Nf3 g6 O-O Bg7 c4 O-O,10,,A00,Hungarian Opening,1,1694,advanced
1855,1892,black,60+0,d3 d5 c3 c6 e3 Bf5 d4 Nf6 h3 e6,10,,A00,Mieses Opening,1,1873,advanced
1934,1921,white,60+0,e4 e5 Nc3 Nc6 d3 g6 f4 Bg7 fxe5 d6,10,,C25,Vienna Game: Max Lange Defense,4,1927,expert
1421,2186,black,60+0,e4 c5 c3 d5 e5 e6 d4 Nc6 dxc5 Bxc5,10,,B22,Sicilian Defense: Alapin Variation,3,1803,advanced
1664,1547,white,900+15,e4 e5 Nf3 Nc6 Bb5 Nf6 Bxc6 dxc6 O-O Bg4,10,117.11,C65,Ruy Lopez: Berlin Defense,6,1605,advanced
2075,2224,white,180+0,e4 c5 Nc3 d6 Nf3 g6 d4 cxd4 Qxd4 Nf6,10,,B23,Sicilian Defense: Closed,3,2149,expert
1409,1136,white,180+0,e4 d6 d4 e6 d5 e5 Bb5+ Qd7 Bxd7+ Kxd7,10,,B00,Pirc Defense,3,1272,novice
1127,1960,black,300+2,e4 e5 Bc4 Nf6 d4 exd4 Nf3 Nc6 e5 Ne4,10,72.07,C43,Bishop's Opening: Urusov Gambit,7,1543,intermediate
1576,1533,black,180+0,d4 e5 e3 exd4 Nf3 dxe3 Bxe3 Nf6 Nc3 g6,10,,A40,Englund Gambit Declined: Reversed French,3,1554,intermediate
1474,1442,white,900+0,d4 d5 b3 c6 c4 Nf6 Nc3 e6 Nf3 h6,10,,D00,Queen's Pawn Game,2,1458,intermediate
1560,1756,white,420+0,e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 Nc3 Bb4,10,,C00,French Defense: Knight Variation,3,1658,advanced
2073,2266,white,60+0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e6 Nc3 Qc7,10,,B32,Sicilian Defense: Open,7,2169,expert
1460,1433,draw,300+0,e4 b6 Bc4 Bb7 Qf3 Nf6 d3 e5 Bg5 Be7,10,,B00,Owen Defense,2,1446,intermediate
1480,1538,white,300+0,e4 Nc6 Nf3 d5 exd5 Qxd5 Nc3 Qe6+ Be2 Qg6,10,,B00,Nimzowitsch Defense: Declined Variation,3,1509,intermediate
1406,1428,black,300+0,d4 d5 Nf3 Nc6 c3 Nf6 Bf4 h6 e4 dxe4,10,,D02,Queen's Pawn Game: Chigorin Variation,4,1417,intermediate
2117,2177,black,30+0,h4 a5 h5 a4 h6 gxh6 d4 Nf6 e3 c6,10,,A00,Kádas Opening: Koola-Koola Variation,2,2147,expert
1569,1532,white,600+0,e4 e6 d4 b6 Bc4 Bb7 d5 Nf6 dxe6 fxe6,10,,C00,French Defense: Normal Variation,3,1550,intermediate
1968,1949,white,600+0,e4 c5 Nf3 Nc6 c3 Qc7 Bc4 e6 Bb3 Nge7,10,,B30,Sicilian Defense: Old Sicilian,4,1958,expert
1572,1296,white,900+5,e4 e6 d4 c6 Nc3 d5 Nf3 Nf6 Bg5 Be7,10,,C00,French Defense: Normal Variation,3,1434,intermediate
1611,1603,black,600+0,e4 e6 Nf3 d6 Bc4 h6 Nc3 a6 a3 Nc6,10,,C00,French Defense: Knight Variation,3,1607,advanced
1731,1589,white,60+0,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 Nc6,10,,B56,Sicilian Defense: Classical Variation,10,1660,advanced
1592,1606,white,180+2,e4 e5 Bc4 Nf6 d3 Bc5 h3 h6 a3 d6,10,,C24,Bishop's Opening: Berlin Defense,4,1599,intermediate
1497,1408,white,300+3,d4 e6 c4 Ne7 e3 Ng6 Nf3 b6 Bd3 Nh4,10,,A40,Horwitz Defense,2,1452,intermediate
1303,1254,white,180+0,c4 e6 Nc3 d5 e3 Nf6 Nf3 Bb4 d4 c5,10,,A13,English Opening: Agincourt Defense,2,1278,novice
1702,2175,black,480+0,e4 Nc6 Bc4 e6 Nf3 Nf6 d4 Nxe4 O-O d5,10,1979.22,B00,Nimzowitsch Defense,2,1938,expert
2089,2105,black,120+2,d4 Nf6 Nf3 g6 Bg5 Ne4 Bh4 Bg7 e3 d5,10,,A48,Torre Attack: Fianchetto Defense,5,2097,expert
2292,2100,white,180+0,Nf3 d5 b3 Bg4 Bb2 Nd7 d4 Ngf6 Ne5 Nxe5,10,,A06,Nimzo-Larsen Attack: Classical Variation,3,2196,expert
1210,1278,white,600+0,e4 e5 g4 Nc6 c4 f6 f3 Nd4 b3 b6,10,,C20,King's Pawn Game,2,1244,novice
1267,1378,black,60+1,c4 e5 g3 d5 cxd5 Qxd5 Nf3 Nf6 Nc3 Qa5,10,,A20,English Opening: King's English Variation,2,1322,intermediate
1323,1329,black,300+0,e4 e5 d4 exd4 c3 dxc3 Nxc3 Nc6 Nf3 d6,10,3899.2,C21,Danish Gambit Accepted,6,1326,intermediate
1578,1356,black,300+0,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Nb4 Nxe5 d5,10,,C47,Four Knights Game: Italian Variation,7,1467,intermediate
1060,1444,black,300+0,e4 h5 Qf3 d6 Bc4 Nh6 Bb5+ c6 Bc4 Bg4,10,,B00,Goldsmith Defense,2,1252,novice
2075,2008,black,180+0,d4 Nf6 Nc3 d5 e4 dxe4 f3 exf3 Nxf3 Bf5,10,,D00,Queen's Pawn Game: Hübsch Gambit,5,2041,expert
1862,1913,white,180+0,e4 e5 d3 Nf6 f4 exf4 Bxf4 d6 h3 Be7,10,,C20,King's Pawn Game: Leonardis Variation,3,1887,advanced
1708,1685,white,300+0,d4 Nf6 Bf4 g6 e3 Bg7 Be2 O-O h3 d6,10,,A45,Indian Defense: Accelerated London System,3,1696,advanced
1794,1876,white,300+0,e4 Nf6 Nc3 d5 e5 Ne4 d4 Nxc3 bxc3 c5,10,,B02,Alekhine Defense: Scandinavian Variation,4,1835,advanced
1743,1982,black,180+2,e4 g6 d4 Bg7 Nc3 d6 Be3 a6 Qd2 b5,10,3491.01,B06,Modern Defense: Standard Defense,6,1862,advanced
1501,1441,white,300+0,e4 e5 Bc4 c6 Nf3 d5 exd5 cxd5 Bb5+ Bd7,10,,C23,Bishop's Opening: Philidor Counterattack,4,1471,intermediate
1704,1261,white,180+1,d4 Nf6 h3 c6 Bf4 d5 e3 Nbd7 c3 e5,10,,A45,Indian Defense,2,1482,intermediate
1802,1817,black,60+0,d3 e6 e3 Ne7 c3 Ng6 d4 Be7 g3 O-O,10,,A00,Mieses Opening,1,1809,advanced
1761,1728,white,300+5,d4 Nf6 Nc3 d5 Nf3 Nc6 Bf4 a6 e3 Bg4,10,,A45,Queen's Pawn Game: Chigorin Variation,4,1744,advanced
