white_elo,black_elo,result,time_control,opening_moves,num_opening_moves,post_opening_acpl
1380,1321,white,600+0,e4 c6 d4 d5 e5 Bf5 Nf3 e6 Bd3 Bxd3,10,
1839,1864,white,420+0,e4 e5 Nf3 d6 Bc4 h6 d4 f6 dxe5 fxe5,10,
1527,1387,black,600+0,c3 b6 d4 Bb7 e3 g6 Bb5 Bg7 Ne2 Bxg2,10,2772.53
1500,1327,black,180+0,e4 Nc6 Nf3 e5 c4 Nf6 Nc3 Bd6 Bd3 O-O,10,
1719,1594,white,660+8,e4 d5 exd5 Qxd5 Nc3 Qc5 d4 Qd6 Nf3 g6,10,18931.53
1674,1639,black,180+0,e4 e6 d4 d5 exd5 exd5 Nf3 Nf6 Nc3 Bg4,10,
1253,1430,white,180+0,e4 e5 Nf3 d6 Qe2 Bg4 Qd3 Nd7 Ng1 a6,10,
1137,1734,black,120+0,e4 g6 Bc4 Bg7 d3 e6 Nc3 Ne7 Bd2 b6,10,3048.24
1516,1369,white,300+0,e4 e6 d4 d5 e5 c5 c3 Qb6 Be3 Nc6,10,
1760,1818,white,180+0,e4 d5 exd5 Nf6 d4 c6 c4 cxd5 Nc3 dxc4,10,
2168,1623,white,180+0,d4 Nf6 c4 e6 Nc3 d5 Bg5 Be7 cxd5 exd5,10,
1523,1824,white,480+1,e4 e5 c3 Nf6 d3 h6 Nf3 Nc6 d4 exd4,10,
1459,1520,white,1500+0,b3 e5 d4 exd4 Qxd4 Nc6 Qe4+ Be7 Nc3 Nf6,10,
1590,1747,black,300+0,d4 d5 c4 dxc4 Nc3 Nf6 f3 e5 d5 Bb4,10,
1572,1630,white,240+0,d4 d5 Nc3 Nf6 Bg5 e6 e4 Be7 e5 Ne4,10,
2076,1962,white,30+0,d4 d5 Nf3 e6 c3 c6 e3 Bd6 Bd3 Qc7,10,
1980,2076,black,60+0,e4 e5 f4 d5 exd5 e4 d3 Qd7 Nc3 exd3,10,
1409,1410,white,600+0,d4 Nh6 c4 d5 Nc3 Na6 cxd5 Nf5 Nf3 Qd6,10,13675.48
1886,1888,draw,600+0,d4 d5 Nf3 Nc6 Bf4 Nf6 e3 Nh5 Bg5 f6,10,
1401,1563,black,600+0,e4 e5 d4 exd4 Bf4 Nc6 Bc4 Nf6 f3 Bc5,10,
1832,1636,white,600+0,d4 d5 c4 Nf6 cxd5 Nxd5 e4 Nf6 Nc3 Nbd7,10,
1588,1503,black,300+2,e4 g6 d4 Bg7 Nf3 e6 e5 Ne7 d5 exd5,10,
1532,1403,white,180+0,d4 e6 Bf4 Be7 Nc3 b6 e3 Bb7 Nf3 d5,10,
1950,1822,white,300+3,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 Qc7,10,
1266,1258,black,300+3,d4 d5 Nc3 Nf6 Nf3 e6 e3 Bb4 a3 Bxc3+,10,
1433,1476,white,420+0,e4 e5 Nf3 d6 d4 exd4 Nxd4 Bd7 Bc4 Nc6,10,
1617,1678,black,300+3,e4 c5 Nf3 d6 Bc4 h6 Nc3 Nf6 d3 e5,10,
1591,1791,white,300+4,d4 d5 c4 Nc6 Nc3 Nf6 Bg5 dxc4 e3 e6,10,
1704,1969,white,240+0,e4 e5 Bc4 Be7 Bxf7+ Kxf7 Nf3 d6 c3 Nf6,10,
934,1186,white,300+0,d4 Nf6 Nc3 d5 Be3 Bf5 Qc1 Nc6 Nf3 Ne4,10,
1730,2212,black,600+0,e3 e5 Ne2 d5 d4 Nc6 g3 Nf6 Bg2 h5,10,5262.26
1456,1246,white,300+0,d4 d5 c4 dxc4 Nc3 Nc6 d5 Ne5 f4 Ng4,10,
1717,2011,black,300+0,d4 Nf6 c3 e6 h3 c5 Nf3 d5 Bf4 Nc6,10,
1483,1508,black,300+0,e4 e5 d3 Nf6 h3 c5 c3 Nc6 a3 d6,10,
1672,1646,black,300+0,e4 e5 d3 d6 c3 h6 f4 exf4 Bxf4 Nf6,10,
1755,1788,white,120+9,d4 d5 Bg5 Bf5 e3 h6 Bh4 a6 c3 Nc6,10,
1502,1322,white,300+5,e4 e5 Nf3 Nc6 Bc4 d5 exd5 Nb4 Nc3 Bg4,10,
1778,1695,white,300+0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nb5 d6,10,
1599,1551,black,60+0,e4 e6 d4 d5 e5 c5 Nf3 c4 Be2 b5,10,
1739,1846,white,240+0,e4 Nf6 e5 Nd5 c4 Nb6 d4 d6 f4 g5,10,
1422,1268,white,300+0,d4 d5 Bg5 f6 Bh4 g5 Bg3 e6 Nf3 Nc6,10,4511.78
2169,2079,black,30+0,d4 d5 c4 c5 Nc3 cxd4 e4 dxc3 cxd5 cxb2,10,
1501,1532,black,180+2,e4 e5 Nf3 f5 Nxe5 Nf6 f4 Bd6 d4 Nxe4,10,
2300,2574,black,180+0,Nf3 Nf6 b3 d5 Bb2 Bg4 Ne5 Bh5 h3 Nfd7,10,
1724,1889,black,180+0,c4 e5 Nc3 Nf6 d3 Bc5 e3 d6 Bd2 Nc6,10,
1644,1679,white,180+0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 a6 Bc4 Nf6,10,
1614,1689,black,420+0,d4 c5 e3 cxd4 exd4 g6 Bd3 Bg7 c3 Nf6,10,
2042,1997,white,600+0,e4 c5 Nf3 d6 Bc4 e6 Nc3 a6 d4 cxd4,10,
1358,1472,white,45+10,e4 e5 Nf3 Nc6 Bc4 d6 Ng5 Be6 Bxe6 fxe6,10,
1615,1676,white,600+0,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bb4 d3 Bxc3+,10,
1400,1397,white,300+0,e4 e5 Nf3 d6 Bc4 c6 Nc3 b5 Bb3 a5,10,
1789,1887,black,30+0,e4 e6 e5 d5 f4 c5 Nf3 Nc6 Bb5 d4,10,
1412,1706,black,300+0,e4 e5 Nf3 d6 d4 exd4 Nxd4 Bd7 Nf5 Bxf5,10,
1407,1406,black,300+8,e4 e6 d4 Qh4 Bd3 Nc6 c3 Qe7 e5 f6,10,
1482,1536,black,60+0,e4 b6 Nf3 Bb7 d3 e6 Nc3 d5 Bf4 d4,10,
1570,1630,white,180+0,e4 b6 Nc3 Bb7 Nf3 e6 d4 d5 e5 Ne7,10,9621.44
1554,1637,black,60+2,d4 d5 c4 c6 e3 Nf6 cxd5 cxd5 Nc3 Bf5,10,
1098,1175,black,900+15,g3 d5 e3 e5 c4 f5 Nf3 e4 Nh4 g5,10,
1710,1726,white,900+15,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 Ne4 a3 Bxc3+,10,
1513,1590,black,300+5,e4 b6 d4 Bb7 d5 h6 Nf3 d6 Bc4 Nf6,10,
1927,2003,black,120+0,d4 d5 c4 c6 Nc3 Nf6 f3 dxc4 a4 e6,10,2096.43
1481,1424,white,900+15,e4 d5 exd5 Qxd5 Nc3 Qa5 Bd3 e6 Nf3 Nc6,10,
1542,1954,black,600+8,e4 e5 Nf3 Nc6 Bb5 Qf6 Nc3 Nge7 O-O Nd4,10,
1331,1211,black,600+0,e4 e5 Nf3 Nc6 Bb5 Bc5 Bxc6 bxc6 O-O Ba6,10,3743.38
2191,1862,black,120+0,e4 e6 c4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Bc5,10,
1680,1886,black,60+1,d4 c5 e3 cxd4 e4 d5 Qxd4 Nc6 Qxd5 e6,10,
2221,2225,white,30+0,e4 e6 Nf3 Be7 Ne5 d5 Qh5 g6 Qf3 dxe4,10,
2004,1977,black,300+5,d4 Nf6 Nc3 d5 Bf4 e6 e3 Bd6 Nf3 Bxf4,10,
1797,1996,black,30+0,e4 d6 Nf3 c6 Bc4 e6 Bd3 f6 Be2 Be7,10,
1949,1740,white,30+0,g3 e6 Bg2 d5 Nf3 Nf6 O-O Be7 d4 O-O,10,
1739,1650,black,60+0,g3 d5 Bg2 Nf6 Nf3 g6 O-O Bg7 c4 O-O,10,
1855,1892,black,60+0,d3 d5 c3 c6 e3 Bf5 d4 Nf6 h3 e6,10,
1934,1921,white,60+0,e4 e5 Nc3 Nc6 d3 g6 f4 Bg7 fxe5 d6,10,
1421,2186,black,60+0,e4 c5 c3 d5 e5 e6 d4 Nc6 dxc5 Bxc5,10,
1664,1547,white,900+15,e4 e5 Nf3 Nc6 Bb5 Nf6 Bxc6 dxc6 O-O Bg4,10,117.11
2075,2224,white,180+0,e4 c5 Nc3 d6 Nf3 g6 d4 cxd4 Qxd4 Nf6,10,
1409,1136,white,180+0,e4 d6 d4 e6 d5 e5 Bb5+ Qd7 Bxd7+ Kxd7,10,
1127,1960,black,300+2,e4 e5 Bc4 Nf6 d4 exd4 Nf3 Nc6 e5 Ne4,10,72.07
1576,1533,black,180+0,d4 e5 e3 exd4 Nf3 dxe3 Bxe3 Nf6 Nc3 g6,10,
1474,1442,white,900+0,d4 d5 b3 c6 c4 Nf6 Nc3 e6 Nf3 h6,10,
1560,1756,white,420+0,e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 Nc3 Bb4,10,
2073,2266,white,60+0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e6 Nc3 Qc7,10,
1460,1433,draw,300+0,e4 b6 Bc4 Bb7 Qf3 Nf6 d3 e5 Bg5 Be7,10,
1480,1538,white,300+0,e4 Nc6 Nf3 d5 exd5 Qxd5 Nc3 Qe6+ Be2 Qg6,10,
1406,1428,black,300+0,d4 d5 Nf3 Nc6 c3 Nf6 Bf4 h6 e4 dxe4,10,
2117,2177,black,30+0,h4 a5 h5 a4 h6 gxh6 d4 Nf6 e3 c6,10,
1569,1532,white,600+0,e4 e6 d4 b6 Bc4 Bb7 d5 Nf6 dxe6 fxe6,10,
1968,1949,white,600+0,e4 c5 Nf3 Nc6 c3 Qc7 Bc4 e6 Bb3 Nge7,10,
1572,1296,white,900+5,e4 e6 d4 c6 Nc3 d5 Nf3 Nf6 Bg5 Be7,10,
1611,1603,black,600+0,e4 e6 Nf3 d6 Bc4 h6 Nc3 a6 a3 Nc6,10,
1731,1589,white,60+0,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 Nc6,10,
1592,1606,white,180+2,e4 e5 Bc4 Nf6 d3 Bc5 h3 h6 a3 d6,10,
1497,1408,white,300+3,d4 e6 c4 Ne7 e3 Ng6 Nf3 b6 Bd3 Nh4,10,
1303,1254,white,180+0,c4 e6 Nc3 d5 e3 Nf6 Nf3 Bb4 d4 c5,10,
1702,2175,black,480+0,e4 Nc6 Bc4 e6 Nf3 Nf6 d4 Nxe4 O-O d5,10,1979.22
2089,2105,black,120+2,d4 Nf6 Nf3 g6 Bg5 Ne4 Bh4 Bg7 e3 d5,10,
2292,2100,white,180+0,Nf3 d5 b3 Bg4 Bb2 Nd7 d4 Ngf6 Ne5 Nxe5,10,
1210,1278,white,600+0,e4 e5 g4 Nc6 c4 f6 f3 Nd4 b3 b6,10,
1267,1378,black,60+1,c4 e5 g3 d5 cxd5 Qxd5 Nf3 Nf6 Nc3 Qa5,10,
1323,1329,black,300+0,e4 e5 d4 exd4 c3 dxc3 Nxc3 Nc6 Nf3 d6,10,3899.2
1578,1356,black,300+0,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Nb4 Nxe5 d5,10,
1060,1444,black,300+0,e4 h5 Qf3 d6 Bc4 Nh6 Bb5+ c6 Bc4 Bg4,10,
2075,2008,black,180+0,d4 Nf6 Nc3 d5 e4 dxe4 f3 exf3 Nxf3 Bf5,10,
1862,1913,white,180+0,e4 e5 d3 Nf6 f4 exf4 Bxf4 d6 h3 Be7,10,
1708,1685,white,300+0,d4 Nf6 Bf4 g6 e3 Bg7 Be2 O-O h3 d6,10,
1794,1876,white,300+0,e4 Nf6 Nc3 d5 e5 Ne4 d4 Nxc3 bxc3 c5,10,
1743,1982,black,180+2,e4 g6 d4 Bg7 Nc3 d6 Be3 a6 Qd2 b5,10,3491.01
1501,1441,white,300+0,e4 e5 Bc4 c6 Nf3 d5 exd5 cxd5 Bb5+ Bd7,10,
1704,1261,white,180+1,d4 Nf6 h3 c6 Bf4 d5 e3 Nbd7 c3 e5,10,
1802,1817,black,60+0,d3 e6 e3 Ne7 c3 Ng6 d4 Be7 g3 O-O,10,
1761,1728,white,300+5,d4 Nf6 Nc3 d5 Nf3 Nc6 Bf4 a6 e3 Bg4,10,
1277,1268,white,60+0,e4 c5 d3 Nc6 c4 g5 b3 Bg7 f3 Nh6,10,6173.28
1776,1377,white,2700+0,e4 d5 e5 Bf5 d4 e6 a3 Nc6 Bb5 a6,10,9583.04
1482,1847,white,600+0,e4 Nc6 Nf3 Nf6 Nc3 e6 d4 Bb4 Bg5 Be7,10,
1713,1816,black,60+0,d4 Nf6 c4 d5 Nc3 c5 e3 cxd4 exd4 Nc6,10,
1723,1755,black,600+2,e4 e5 f4 exf4 Bc4 g5 Nf3 d6 h4 Bg4,10,
1963,1836,white,300+0,c4 d5 cxd5 Qxd5 Nf3 Qa5 Nc3 Nf6 e3 Nc6,10,
1720,1716,black,0+1,e4 d5 exd5 Qxd5 Nf3 Qe6+ Be2 Nc6 O-O Qg6,10,9468.0
2217,2075,black,30+0,c4 Nf6 g4 e6 g5 Ne4 Nc3 Nxg5 d4 d5,10,
2020,1994,white,1200+10,e4 e5 f4 d6 Nf3 Bg4 Bc4 Nf6 d3 Nbd7,10,
1754,1621,white,120+2,e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Nf6 Be2 c6,10,
1920,1849,white,60+0,Nf3 d6 g3 e5 Bg2 Be6 d3 Nf6 e4 Nc6,10,
1334,1927,black,300+0,c4 c5 Nc3 e5 a3 Nc6 b4 cxb4 axb4 Nxb4,10,
1924,2221,black,180+0,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O b5,10,
2089,2050,black,180+0,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 c5 e3 O-O,10,
1852,1865,white,600+0,e4 c6 Nf3 d5 e5 Bg4 d4 e6 h3 Bh5,10,
1805,1821,black,600+0,e4 c6 Nf3 d5 Nc3 Bg4 h3 Bxf3 Qxf3 dxe4,10,
1604,1826,black,600+0,e4 c6 Bc4 d5 exd5 cxd5 Bb3 Nc6 d4 Nf6,10,
1868,2003,white,120+0,e3 d6 d4 Nf6 Nf3 c6 c4 g6 Nc3 Bg7,10,
2324,1840,white,30+0,d4 c5 c4 cxd4 Nc3 dxc3 bxc3 e6 e3 d5,10,
2721,2211,white,30+0,b3 e6 Bb2 Be7 Bxg7 Bf6 Bxh8 Bxh8 c3 Bf6,10,
1185,1340,black,300+1,e4 e5 Nf3 b6 Nxe5 d6 Nxf7 Kxf7 Bc4+ Ke8,10,
1523,1313,black,60+0,e4 e5 d4 exd4 Qxd4 Nc6 Qa4 Bc5 Bb5 a6,10,
1057,1131,white,600+0,e4 e5 Nc3 d6 Nf3 b6 d4 Bb7 dxe5 dxe5,10,73.34
1678,1676,white,900+0,d4 Nf6 Nf3 e6 Bg5 h6 Bh4 g5 Bg3 Ne4,10,
1914,2234,white,30+0,e4 d5 exd5 Nf6 Nf3 Bg4 Be2 Qxd5 O-O Nc6,10,
2130,2308,white,30+0,e4 g6 Nc3 Bg7 d4 d6 Nf3 Nf6 Be3 Ng4,10,
1906,1605,white,180+0,d3 c5 g3 Nc6 Bg2 g6 f4 Bg7 Nf3 Nf6,10,1311.11
1947,1455,white,360+5,e4 e6 d4 Qh4 Nc3 Bb4 Bd3 Qe7 Nf3 Bxc3+,10,
1770,1500,white,120+1,b4 d5 Bb2 Nc6 b5 Nb4 a3 Nxc2+ Qxc2 Nf6,10,
1224,1110,white,600+0,e4 Nf6 e5 Nd5 c4 Nb6 Nc3 e6 d4 Bb4,10,
1954,2084,black,30+0,e4 d5 Nf3 dxe4 Ng5 Nf6 Bc4 e6 Nc3 Be7,10,
1576,1566,black,600+0,e4 e6 d4 a6 e5 h6 c4 Bb4+ Bd2 Bxd2+,10,
1670,1873,black,600+0,e4 e5 Nf3 Nc6 h3 Bc5 a3 d6 Bb5 Ne7,10,2769.44
1179,1261,black,300+0,e4 e5 Nf3 Nc6 Nc3 Qf6 Nd5 Qd6 Bc4 h6,10,
1822,1609,white,600+0,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Bf5 Ng3 Bg6,10,
1724,1738,black,600+0,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Be7 Nc3 O-O,10,
1676,2025,black,600+0,b4 e5 b5 d5 Bb2 Nd7 a4 Ngf6 g3 a6,10,
1607,1848,black,300+0,d4 c6 c4 d5 Nc3 Nf6 Qc2 g6 Nf3 Bg7,10,
1599,1844,black,600+0,e4 b6 d4 Bb7 d5 e6 Nc3 Nf6 Bg5 Be7,10,
1697,1724,white,60+0,d4 Nc6 Bg5 d5 e3 Bf5 Bd3 Qd7 Bxf5 Qxf5,10,52.09
1866,1883,black,300+0,e4 g6 d4 Bg7 Bc4 d6 Ne2 e6 O-O Ne7,10,
2015,1463,white,60+0,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nxc6 bxc6,10,
1922,2032,black,60+0,e4 e5 Nf3 d6 Bc4 Be7 d3 Nf6 h3 O-O,10,
1316,1343,white,30+0,e4 e5 Nf3 Nc6 Bc4 Be7 Ng5 Nf6 Nxf7 Bc5,10,
1558,1763,black,60+0,e4 d5 exd5 Qxd5 Nc3 Qd8 d4 Nc6 Bf4 Nf6,10,93.28
1409,1349,white,180+0,e4 e5 Bc4 d6 Qf3 Nf6 d3 Nc6 c3 a6,10,
1270,1359,white,300+2,e4 e6 d4 c5 d5 Qh4 Nc3 exd5 Nf3 Qh5,10,
1530,1539,white,180+0,e4 e5 d4 exd4 Qxd4 Nc6 Qe3 d6 Nc3 Nf6,10,
1870,1867,white,180+0,c4 g6 Nc3 Bg7 g3 e6 Bg2 c6 e3 d5,10,
1046,1089,draw,600+0,g4 Nf6 h3 d5 c3 e6 d3 Bd6 e4 dxe4,10,
2051,2308,black,60+1,e4 c5 Nf3 e6 d4 cxd4 c3 Nf6 e5 Nd5,10,
1352,1227,white,420+2,e4 e5 Nf3 d5 Nc3 dxe4 Nxe5 Qf6 d4 Bd6,10,
1550,1459,black,180+2,e4 e6 Nf3 Nc6 Bb5 a6 Bxc6 bxc6 O-O d6,10,
1872,1608,white,180+2,d4 c6 e4 d5 e5 Bf5 h4 e6 g4 Be4,10,
1889,1758,white,60+0,e4 e5 Nf3 d6 Bb5+ c6 Bc4 Nd7 O-O Be7,10,2783.61
1686,1804,black,300+0,f4 e5 fxe5 d6 Nf3 Bg4 Nc3 Bxf3 exf3 dxe5,10,
1768,1745,black,360+0,e4 c5 Nf3 d6 Bc4 e6 O-O Nf6 e5 dxe5,10,
1725,1815,white,30+0,g3 g6 f3 Bg7 e3 b6 Bg2 Bb7 Ne2 Bxb2,10,
1764,1781,white,180+0,d4 e6 Bf4 c6 e3 Bb4+ c3 Ba5 Nd2 Ne7,10,
1540,1705,black,300+8,e4 e5 Nf3 d6 Bc4 f5 exf5 Bxf5 Qe2 Nf6,10,
1253,1192,white,240+0,e4 d5 exd5 Qxd5 Qe2 Qd8 Qd3 Qxd3 cxd3 Bf5,10,
1421,1448,black,180+2,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 d6 h3 h6,10,46.56
1812,1597,white,240+0,d3 d5 e3 g6 Ne2 Bg7 Nd2 e5 Ng3 c6,10,
1583,1704,black,120+3,d4 c5 dxc5 Na6 Qd4 e6 b4 Qc7 c3 Nf6,10,
1864,1806,white,300+5,Nf3 d5 c4 dxc4 Na3 Qd5 e3 e6 Bxc4 Qc6,10,
2027,2068,white,60+0,Nc3 e5 e4 d6 f4 f5 Nf3 Nf6 fxe5 dxe5,10,
1330,1278,white,720+0,d4 d5 c4 e6 Nf3 f6 e3 g5 Bd3 Nd7,10,
1906,1887,white,60+0,e4 g6 Nf3 Bg7 d4 d6 Be3 a6 Bd3 b5,10,
1699,1824,black,180+0,f4 d5 e3 Nf6 Nf3 Nc6 Bb5 Bf5 Nc3 Qd7,10,
1616,1843,white,60+0,g3 Nc6 Nf3 b6 c3 Bb7 d4 g5 Bg2 g4,10,
1814,1783,black,300+0,e4 Nc6 Bc4 f5 exf5 d5 Qh5+ Kd7 Bxd5 Nf6,10,
2042,1936,black,300+10,Nf3 c5 d4 cxd4 c3 dxc3 Nxc3 Nf6 e4 d6,10,42.19
1386,1459,black,300+0,e4 d5 exd5 Qxd5 Nc3 Qe6+ Be2 Qg6 Bf3 Nc6,10,
1654,1761,black,300+0,d4 Nf6 Nf3 g6 Bg5 Bg7 e3 O-O Nbd2 b6,10,
1863,2105,white,180+0,d4 d5 c4 c6 Nc3 Nf6 Bg5 e6 e3 Be7,10,
1478,1584,black,300+0,e4 e5 d4 exd4 Qxd4 Nc6 Qa4 Nf6 Nc3 d6,10,
1561,1449,white,300+0,b4 e5 Bb2 d6 c4 a6 e3 Nc6 b5 axb5,10,
1842,1986,black,180+0,d4 d5 c4 c6 Nf3 Nf6 Nc3 e6 Bg5 dxc4,10,
1907,1607,white,300+0,e4 e5 f4 exf4 Nf3 Bd6 Bc4 Ne7 d4 c5,10,
1280,1409,white,600+3,e4 e6 d4 c6 e5 d5 Nf3 h6 c3 b5,10,
1290,1402,black,600+0,d4 d5 e3 Nc6 Bb5 Bd7 Nf3 a6 Ba4 Bf5,10,
1366,1395,black,600+0,e4 c5 c4 Nf6 Nc3 e5 Nf3 Nc6 Bd3 d6,10,
